stock,buy_date,sell_date,buy_price,sell_price,hold_days,profit_loss_pct,trade_profit
TATAMOTORS,2021-11-12,2022-01-04,507.8,489.5,36,-3.6037810161480923,-7207.562032296184
TATAMOTORS,2021-12-13,2022-01-04,496.0,489.5,16,-1.310483870967742,-2620.967741935484
TATAMOTORS,2021-12-27,2022-01-04,472.05,489.5,6,3.6966423048405863,7393.284609681172
TATAMOTORS,2022-04-08,2022-09-14,452.2,451.0,107,-0.26536930561698113,-530.7386112339623
TATAMOTORS,2022-05-26,2022-09-14,421.5,451.0,76,6.998813760379596,13997.627520759193
TATAMOTORS,2022-07-21,2022-09-14,454.0,451.0,36,-0.6607929515418502,-1321.5859030837005
TATAMOTORS,2022-10-31,2023-04-11,412.25,459.4,110,11.437234687689504,22874.46937537901
TATAMOTORS,2022-11-04,2023-04-11,424.5,459.4,106,8.221436984687863,16442.873969375727
TATAMOTORS,2023-01-05,2023-04-11,386.95,459.4,63,18.723349269931514,37446.69853986303
TATAMOTORS,2023-01-27,2023-04-11,445.25,459.4,48,3.177989893318355,6355.979786636711
TATAMOTORS,2023-03-10,2023-04-11,436.85,459.4,19,5.161954904429427,10323.909808858854
TATAMOTORS,2023-05-12,2023-11-06,513.8,646.05,121,25.739587388088754,51479.174776177504
ADANIENT,2022-04-05,2022-09-21,2131.0,3639.95,115,70.80947911778507,141618.95823557017
ADANIENT,2022-04-26,2022-09-21,2394.0,3639.95,102,52.04469507101085,104089.3901420217
HEROMOTOCO,2023-04-10,2023-08-09,2460.0,3060.9,84,24.42682926829269,48853.658536585375
HEROMOTOCO,2023-05-10,2023-08-09,2590.0,3060.9,64,18.181467181467184,36362.93436293437
HEROMOTOCO,2023-05-12,2023-08-09,2602.0,3060.9,62,17.636433512682554,35272.86702536511
HEROMOTOCO,2023-05-18,2023-08-09,2728.0,3060.9,58,12.203079178885634,24406.15835777127
EXIDEIND,2021-12-27,2022-02-24,164.5,142.35,42,-13.465045592705172,-26930.091185410343
EXIDEIND,2021-12-28,2022-02-24,168.7,142.35,41,-15.619442797866032,-31238.885595732063
EXIDEIND,2022-01-06,2022-02-24,170.9,142.35,34,-16.705675833820955,-33411.35166764191
MCX,2020-05-20,2020-09-15,1120.35,1698.1,83,51.56870620788146,103137.41241576293
MCX,2023-03-10,2023-10-12,1479.0,2100.0,145,41.98782961460446,83975.6592292089
OFSS,2022-04-05,2022-10-17,3674.0,2932.0,132,-20.195971692977682,-40391.94338595536
OFSS,2022-04-06,2022-10-17,3685.0,2932.0,131,-20.434192672998645,-40868.38534599729
OFSS,2022-04-07,2022-10-17,3710.0,2932.0,130,-20.97035040431267,-41940.70080862533
OFSS,2022-08-03,2022-10-17,3319.7,2932.0,49,-11.67876615356809,-23357.532307136178
CIPLA,2020-04-13,2020-08-11,593.2,778.5,83,31.237356709372882,62474.71341874576
CIPLA,2020-08-04,2020-08-11,714.8,778.5,5,8.911583659764977,17823.16731952995
CIPLA,2020-08-05,2020-08-11,723.5,778.5,4,7.601935038009675,15203.87007601935
ACC,2019-11-29,2020-05-14,1521.0,1191.0,112,-21.696252465483234,-43392.50493096647
ACC,2019-12-02,2020-05-14,1535.7,1191.0,111,-22.44579019339715,-44891.5803867943
ACC,2020-01-15,2020-05-14,1520.5,1191.0,80,-21.670503123972377,-43341.00624794475
ACC,2020-02-07,2020-05-14,1505.0,1191.0,62,-20.86378737541528,-41727.574750830565
BAJAJ-AUTO,2021-01-01,2021-04-05,3479.0,3598.0,62,3.420523138832998,6841.046277665996
BAJAJ-AUTO,2021-01-28,2021-04-05,4150.0,3598.0,44,-13.301204819277107,-26602.409638554214
BAJAJ-AUTO,2022-07-13,2023-01-30,3854.2,3858.55,136,0.11286388874475545,225.72777748951088
BAJAJ-AUTO,2022-07-21,2023-01-30,4065.0,3858.55,130,-5.0787207872078675,-10157.441574415734
ITC,2020-05-26,2020-10-13,191.6,169.85,99,-11.351774530271399,-22703.5490605428
IDFCFIRSTB,2019-10-31,2020-05-14,44.65,21.0,132,-52.96752519596865,-105935.05039193729
IDFCFIRSTB,2020-10-01,2021-02-26,30.25,63.35,102,109.42148760330579,218842.9752066116
POLYCAB,2019-11-14,2020-03-30,899.75,740.0,95,-17.75493192553487,-35509.86385106974
SAIL,2020-06-01,2020-12-17,30.45,57.3,141,88.17733990147782,176354.67980295565
SAIL,2020-06-02,2020-12-17,31.1,57.3,140,84.24437299035368,168488.74598070735
SAIL,2020-07-10,2020-12-17,36.9,57.3,112,55.28455284552846,110569.10569105692
SAIL,2020-08-10,2020-12-17,38.25,57.3,91,49.803921568627445,99607.8431372549
SAIL,2020-10-08,2020-12-17,33.95,57.3,49,68.77761413843886,137555.22827687772
SAIL,2020-10-22,2020-12-17,36.05,57.3,39,58.94590846047157,117891.81692094315
SAIL,2020-11-20,2020-12-17,41.25,57.3,18,38.90909090909091,77818.18181818181
SAIL,2021-04-05,2021-11-02,90.0,122.35,144,35.94444444444444,71888.88888888889
SAIL,2021-04-08,2021-11-02,95.8,122.35,141,27.713987473903966,55427.97494780793
SAIL,2021-09-02,2021-11-02,120.75,122.35,41,1.3250517598343639,2650.1035196687276
SAIL,2022-03-23,2022-10-28,102.95,78.9,149,-23.360854783875666,-46721.709567751335
SAIL,2022-03-24,2022-10-28,104.0,78.9,148,-24.13461538461538,-48269.23076923076
SAIL,2022-04-06,2022-10-28,110.5,78.9,139,-28.597285067873297,-57194.570135746595
SRF,2021-09-27,2022-03-11,2225.0,2248.0,114,1.0337078651685392,2067.4157303370785
TVSMOTOR,2020-07-06,2020-07-22,408.1,397.85,12,-2.511639304092134,-5023.278608184268
